Conc_10uM,,Conc_20uM,,Conc_40uM,,Conc_80uM,,Conc_160uM,,Conc_320uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
725.9720459,-0.01204583887,725.9720459,-0.01429212745,725.9720459,-0.01416115742,725.9720459,-0.01412041485,725.9720459,-0.01451765094,725.9720459,-0.0142711373
724.9729004,-0.01330145448,724.9729004,-0.01451519784,724.9729004,-0.01466868538,724.9729004,-0.01560485922,724.9729004,-0.01479805261,724.9729004,-0.01536925603
723.9733887,-0.01335211378,723.9733887,-0.01476512663,723.9733887,-0.01470797509,723.9733887,-0.01542706974,723.9733887,-0.01553178392,723.9733887,-0.01608007215
722.9735718,-0.01381379925,722.9735718,-0.01562169008,722.9735718,-0.01616288163,722.9735718,-0.01626916416,722.9735718,-0.01579645462,722.9735718,-0.01656827144
721.9733887,-0.01461727917,721.9733887,-0.01590172946,721.9733887,-0.01634690166,721.9733887,-0.01597324386,721.9733887,-0.01631773449,721.9733887,-0.01684775017
720.9729004,-0.01463534962,720.9729004,-0.01614701934,720.9729004,-0.01633767784,720.9729004,-0.0168998912,720.9729004,-0.01653413475,720.9729004,-0.01705223881
719.9720459,-0.01470221952,719.9720459,-0.01592049561,719.9720459,-0.01633423753,719.9720459,-0.01652032882,719.9720459,-0.01655835472,719.9720459,-0.01668466814
718.9708252,-0.0148041565,718.9708252,-0.01628861204,718.9708252,-0.01655999944,718.9708252,-0.01709445007,718.9708252,-0.01610446721,718.9708252,-0.01723752543
717.9692993,-0.01495984383,717.9692993,-0.0164266713,717.9692993,-0.01684406586,717.9692993,-0.01650597528,717.9692993,-0.0165202301,717.9692993,-0.01718592457
716.9674683,-0.01482857391,716.9674683,-0.0155118024,716.9674683,-0.0171062462,716.9674683,-0.0166651886,716.9674683,-0.01650452986,716.9674683,-0.01693678834
715.965271,-0.01441128924,715.965271,-0.01593666524,715.965271,-0.01615724526,715.965271,-0.01671281643,715.965271,-0.01615535095,715.965271,-0.01683390513
714.9627075,-0.01422800031,714.9627075,-0.01550440863,714.9627075,-0.0157263577,714.9627075,-0.01608720608,714.9627075,-0.01594365202,714.9627075,-0.01670987718
713.9598389,-0.01351108216,713.9598389,-0.01504676789,713.9598389,-0.01489261258,713.9598389,-0.01553518046,713.9598389,-0.01575441845,713.9598389,-0.01595672593
712.956604,-0.01319594961,712.956604,-0.01456411369,712.956604,-0.01499190461,712.956604,-0.01521951426,712.956604,-0.01443683077,712.956604,-0.01514482405
711.953064,-0.01069208421,711.953064,-0.01407606062,711.953064,-0.01470677368,711.953064,-0.01437808387,711.953064,-0.01399621088,711.953064,-0.01462153345
710.9491577,-0.01121099573,710.9491577,-0.01244955417,710.9491577,-0.01323416736,710.9491577,-0.01347635128,710.9491577,-0.01310980972,710.9491577,-0.01358073484
709.9449463,-0.01064823661,709.9449463,-0.01173437852,709.9449463,-0.01193826552,709.9449463,-0.01191514637,709.9449463,-0.01197639294,709.9449463,-0.01264209393
708.9403687,-0.00994121749,708.9403687,-0.01028253417,708.9403687,-0.0111075053,708.9403687,-0.01126684342,708.9403687,-0.01158680581,708.9403687,-0.01100378856
707.9354858,-0.008470105007,707.9354858,-0.009097700939,707.9354858,-0.009834589437,707.9354858,-0.01062833145,707.9354858,-0.01030295994,707.9354858,-0.01098864526
